2021/10/26,12:23:35,move_forward,0000/00/00,00:00:00
2021/10/26,12:23:35,stop,0000/00/00,00:00:00
2021/10/26,12:23:36,move_back,0000/00/00,00:00:00
2021/10/26,12:23:37,stop,0000/00/00,00:00:00
2021/10/26,12:23:38,turn_right,0000/00/00,00:00:00
2021/10/26,12:23:39,stop,0000/00/00,00:00:00
2021/10/26,12:23:39,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:23:40,stop,0000/00/00,00:00:00
2021/10/26,12:23:40,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:23:40,stop,0000/00/00,00:00:00
2021/10/26,12:23:41,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:23:41,stop,0000/00/00,00:00:00
2021/10/26,12:27:25,move_forward,0000/00/00,00:00:00
2021/10/26,12:27:25,stop,0000/00/00,00:00:00
2021/10/26,12:27:26,move_back,0000/00/00,00:00:00
2021/10/26,12:27:26,stop,0000/00/00,00:00:00
2021/10/26,12:27:27,turn_right,0000/00/00,00:00:00
2021/10/26,12:27:27,stop,0000/00/00,00:00:00
2021/10/26,12:27:28,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:27:28,stop,0000/00/00,00:00:00
2021/10/26,12:27:30,turn_right,0000/00/00,00:00:00
2021/10/26,12:27:31,stop,0000/00/00,00:00:00
2021/10/26,12:27:32,move_back,0000/00/00,00:00:00
2021/10/26,12:27:32,stop,0000/00/00,00:00:00
2021/10/26,12:27:33,move_forward,0000/00/00,00:00:00
2021/10/26,12:27:34,stop,0000/00/00,00:00:00
2021/10/26,12:27:35,move_forward,0000/00/00,00:00:00
2021/10/26,12:27:46,move_forward,0000/00/00,00:00:00
2021/10/26,12:27:47,stop,0000/00/00,00:00:00
2021/10/26,12:27:50,move_forward,0000/00/00,00:00:00
2021/10/26,12:29:09,move_forward,0000/00/00,00:00:00
2021/10/26,12:29:13,move_forward,0000/00/00,00:00:00
2021/10/26,12:29:18,move_back,0000/00/00,00:00:00
2021/10/26,12:29:18,stop,0000/00/00,00:00:00
2021/10/26,12:29:20,move_forward,0000/00/00,00:00:00
2021/10/26,12:29:20,stop,0000/00/00,00:00:00
2021/10/26,12:29:24,move_forward,0000/00/00,00:00:00
2021/10/26,12:30:03,turn_right,0000/00/00,00:00:00
2021/10/26,12:30:05,stop,0000/00/00,00:00:00
2021/10/26,12:30:06,move_back,0000/00/00,00:00:00
2021/10/26,12:30:07,stop,0000/00/00,00:00:00
2021/10/26,12:30:07,move_back,0000/00/00,00:00:00
2021/10/26,12:30:08,stop,0000/00/00,00:00:00
2021/10/26,12:30:09,move_back,0000/00/00,00:00:00
2021/10/26,12:30:10,stop,0000/00/00,00:00:00
2021/10/26,12:30:11,move_back,0000/00/00,00:00:00
2021/10/26,12:30:12,stop,0000/00/00,00:00:00
2021/10/26,12:44:30,move_forward,0000/00/00,00:00:00
2021/10/26,12:44:30,stop,0000/00/00,00:00:00
2021/10/26,12:44:31,move_back,0000/00/00,00:00:00
2021/10/26,12:44:31,stop,0000/00/00,00:00:00
2021/10/26,12:44:32,turn_right,0000/00/00,00:00:00
2021/10/26,12:44:33,stop,0000/00/00,00:00:00
2021/10/26,12:44:33,turn_right,0000/00/00,00:00:00
2021/10/26,12:44:33,stop,0000/00/00,00:00:00
2021/10/26,12:48:18,move_forward,0000/00/00,00:00:00
2021/10/26,12:48:18,stop,0000/00/00,00:00:00
2021/10/26,12:48:18,move_forward,0000/00/00,00:00:00
2021/10/26,12:48:18,stop,0000/00/00,00:00:00
2021/10/26,12:48:19,move_back,0000/00/00,00:00:00
2021/10/26,12:48:19,stop,0000/00/00,00:00:00
2021/10/26,12:48:19,move_back,0000/00/00,00:00:00
2021/10/26,12:48:19,stop,0000/00/00,00:00:00
2021/10/26,12:48:20,turn_right,0000/00/00,00:00:00
2021/10/26,12:48:20,stop,0000/00/00,00:00:00
2021/10/26,12:48:20,turn_right,0000/00/00,00:00:00
2021/10/26,12:48:20,stop,0000/00/00,00:00:00
2021/10/26,12:48:20,turn_left,0000/00/00,00:00:00
2021/10/26,12:48:20,stop,0000/00/00,00:00:00
2021/10/26,12:48:20,turn_left,0000/00/00,00:00:00
2021/10/26,12:48:20,stop,0000/00/00,00:00:00
2021/10/26,12:48:21,stop,0000/00/00,00:00:00
2021/10/26,12:48:21,stop,0000/00/00,00:00:00
2021/10/26,12:48:21,stop,0000/00/00,00:00:00
2021/10/26,12:48:21,stop,0000/00/00,00:00:00
2021/10/26,12:48:22,turn_left,0000/00/00,00:00:00
2021/10/26,12:48:22,stop,0000/00/00,00:00:00
2021/10/26,12:48:22,turn_left,0000/00/00,00:00:00
2021/10/26,12:48:22,stop,0000/00/00,00:00:00
2021/10/26,12:48:23,turn_right,0000/00/00,00:00:00
2021/10/26,12:48:23,stop,0000/00/00,00:00:00
2021/10/26,12:48:23,turn_right,0000/00/00,00:00:00
2021/10/26,12:48:23,stop,0000/00/00,00:00:00
2021/10/26,12:48:23,move_back,0000/00/00,00:00:00
2021/10/26,12:48:23,stop,0000/00/00,00:00:00
2021/10/26,12:48:23,move_back,0000/00/00,00:00:00
2021/10/26,12:48:23,stop,0000/00/00,00:00:00
2021/10/26,12:48:24,move_forward,0000/00/00,00:00:00
2021/10/26,12:48:24,stop,0000/00/00,00:00:00
2021/10/26,12:48:24,move_forward,0000/00/00,00:00:00
2021/10/26,12:48:24,stop,0000/00/00,00:00:00
2021/10/26,12:48:24,move_forward,0000/00/00,00:00:00
2021/10/26,12:48:24,stop,0000/00/00,00:00:00
2021/10/26,13:58:49,move_forward,0000/00/00,00:00:00
2021/10/26,13:58:49,stop,0000/00/00,00:00:00
2021/10/26,13:58:50,move_forward,0000/00/00,00:00:00
2021/10/26,13:58:51,stop,0000/00/00,00:00:00
2021/10/26,13:58:52,move_forward,0000/00/00,00:00:00
2021/10/26,13:58:52,stop,0000/00/00,00:00:00
2021/10/26,13:58:52,move_forward,0000/00/00,00:00:00
2021/10/26,13:58:52,stop,0000/00/00,00:00:00
2021/10/26,13:58:52,move_forward,0000/00/00,00:00:00
2021/10/26,13:58:52,stop,0000/00/00,00:00:00
2021/10/26,13:58:55,move_back,0000/00/00,00:00:00
2021/10/26,13:58:55,stop,0000/00/00,00:00:00
2021/10/26,13:58:57,turn_right,0000/00/00,00:00:00
2021/10/26,13:58:57,stop,0000/00/00,00:00:00
2021/10/26,13:59:00,turn_left,0000/00/00,00:00:00
2021/10/26,13:59:00,stop,0000/00/00,00:00:00
2021/10/26,13:59:01,stop,0000/00/00,00:00:00
2021/10/26,13:59:06,turn_left,0000/00/00,00:00:00
2021/10/26,13:59:06,stop,0000/00/00,00:00:00
2021/10/26,13:59:07,turn_right,0000/00/00,00:00:00
2021/10/26,13:59:07,stop,0000/00/00,00:00:00
2021/10/26,13:59:11,move_back,0000/00/00,00:00:00
2021/10/26,13:59:19,stop,0000/00/00,00:00:00
2021/10/26,13:59:43,turn_left,0000/00/00,00:00:00
2021/10/26,13:59:43,stop,0000/00/00,00:00:00
2021/10/26,13:59:45,turn_right,0000/00/00,00:00:00
2021/10/26,13:59:45,stop,0000/00/00,00:00:00
2021/10/26,13:59:49,stop,0000/00/00,00:00:00
2021/10/26,14:10:36,move_forward,0000/00/00,00:00:00
2021/10/26,14:10:36,stop,0000/00/00,00:00:00
2021/10/26,14:10:38,move_back,0000/00/00,00:00:00
2021/10/26,14:10:38,stop,0000/00/00,00:00:00
2021/10/26,14:10:38,move_back,0000/00/00,00:00:00
2021/10/26,14:10:38,stop,0000/00/00,00:00:00
2021/10/26,14:10:38,move_back,0000/00/00,00:00:00
2021/10/26,14:10:38,stop,0000/00/00,00:00:00
2021/10/26,14:10:38,move_back,0000/00/00,00:00:00
2021/10/26,14:10:38,stop,0000/00/00,00:00:00
